MinTemperatureF,PrecipitationIn
55,0
57,0
59,0
55,0
66,0
50,0
50,0
55,0
59,0
60,0
62,0
59,0
64,0
62,0
59,0
55,0
57,0
53,0
51,0
55,0
62,0
57,0
50,0
57,0
57,0
57,0
55,0
60,0
60,0
59,0
60,0
53,0
51,0
48,0
59,0
55,0
62,0
59,0
55,0
60,0
55,0
55,0
57,0
60,0
62,0
62,0
60,0
57,0
62,0
51,0
50,0
51,0
51,0
55,0
59,0
55,0
57,0
55,0
48,0
48,0
50,0
51,0
55,0
46,0
50,0
41,0
41,0
41,0
50,0
48,0
41,0
37,0
39,0
41,0
39,0
51,0
48,0
41,0
42,0
42,0
46,0
44,0
42,0
46,0
53,0
42,0
46,0
48,0
44,0
30,0
37,0
37,0
44,0
44,0
42,0
37,0
55,0
51,0
53,0
53,0
51,0
48,0
42,0
48,0
39,0
39,0
37,0
37,0
42,0
46,0
41,0
55,0
55,0
46,0
44,0
37,0
35,0
28,0
41,0
33,0
32,0
39,0
41,0
42,0
42,0
48,0
48,0
50,0
46,0
46,0
51,0
51,0
51,0
44,0
48,0
42,0
48,0
57,0
57,0
53,0
51,0
50,0
50,0
57,0
51,0
48,0
46,0
42,0
48,0
46,0
59,0
51,0
48,0
44,0
44,0
41,0
48,0
37,0
42,0
42,0
44,0
42,0
44,0
57,0
50,0
53,0
44,0
50,0
48,0
51,0
51,0
50,0
48,0
41,0
41,0
42,0
44,0
44,0
53,0
53,0
46,0
51,0
48,0
48,0
57,0
57,0
57,0
55,0
55,0
48,0
53,0
60,0
53,0
51,0
55,0
53,0
42,0
42,0
48,0
53,0
50,0
51,0
51,0
44,0
48,0
44,0
48,0
44,0
50,0
50,0
42,0
42,0
44,0
42,0
53,0
53,0
50,0
46,0
50,0
60,0
59,0
59,0
55,0
55,0
53,0
53,0
50,0
46,0
57,0
57,0
50,0
51,0
50,0
59,0
57,0
46,0
53,0
48,0
44,0
53,0
50,0
50,0
53,0
55,0
57,0
57,0
55,0
59,0
59,0
57,0
55,0
57,0
57,0
57,0
57,0
60,0
62,0
59,0
51,0
55,0
60,0
57,0
55,0
57,0
51,0
59,0
57,0
57,0
57,0
53,0
59,0
57,0
57,0
59,0
57,0
60,0
59,0
62,0
60,0
59,0
62,0
59,0
59,0
59,0
55,0
59,0
59,0
55,0
55,0
57,0
59,0
57,0
69,0
59,0
59,0
57,0
57,0
59,0
59,0
59,0
57,0
57,0
53,0
59,0
60,0
57,0
59,0
60,0
59,0
57,0
59,0
60,0
62,0
55,0
57,0
57,0
59,0
60,0
59,0
60,0
57,0
57,0
55,0
55,0
59,0
55,0
57,0
57,0
60,0
57,0
59,0
59,0
60,0
60,0
60,0
62,0
60,0
60,0
59,0
60,0
59,0
51,0
55,0
59,0
59,0
60,0
60,0
59,0
59,0
59,0
60,0
60,0
60,0
62,0
60,0
60,0
60,0
64,0
60,0
59,0
62,0
62,0
59,0
59,0
55,0
57,0
